dataset_idx,nsd_image_id,coco_image_id,coco_split,face_confidence,face_area_ratio,face_count,person_area_ratio,person_count,clip_face,clip_body,clip_scene,clip_word,clip_other,ocr_available,ocr_character_count,ocr_area_ratio,face_flag,body_flag,scene_flag,word_flag,confirmatory_category,exclusion_reason,face_selection_score,body_selection_score,scene_selection_score,word_selection_score
3,3077,524646,train2017,0.0,0.0,0,0.0021395444542253515,1,0.0013809932861477137,0.14142820239067078,0.7221734523773193,0.012371395714581013,0.12264595925807953,False,0,0.0,False,False,True,False,Scene,,1.3809932861477136e-09,0.00030259192609602024,0.7206283301722967,0.012371395714581013
4,3146,262690,train2017,0.0,0.0,0,0.0,0,0.017303908243775368,0.05684738606214523,0.7991145849227905,0.06288323551416397,0.06385090202093124,False,0,0.0,False,False,True,False,Scene,,1.7303908243775365e-08,5.684738606214523e-08,0.7991145849227905,0.06288323551416397
14,3682,264396,train2017,0.0,0.0,0,0.0,0,0.006941816303879023,0.06363578140735626,0.8824734091758728,0.017309194430708885,0.029639819636940956,False,0,0.0,False,False,True,False,Scene,,6.9418163038790225e-09,6.363578140735626e-08,0.8824734091758728,0.017309194430708885
15,3687,2270,train2017,0.958197032770957,0.0161439446366782,1,0.0,0,0.0020163727458566427,0.038563866168260574,0.9016432166099548,0.013132462278008461,0.044644005596637726,False,0,0.0,False,False,True,False,Scene,,0.015469079848083657,3.856386616826057e-08,0.9016432166099548,0.013132462278008461
17,3809,264735,train2017,0.0,0.0,0,0.0,0,0.00197158707305789,0.09392153471708298,0.8005470037460327,0.04764089360833168,0.05591898784041405,False,0,0.0,False,False,True,False,Scene,,1.97158707305789e-09,9.392153471708297e-08,0.8005470037460327,0.04764089360833168
23,4051,265453,train2017,0.0,0.0,0,0.05322687715631633,2,0.012712047435343266,0.183549165725708,0.6514200568199158,0.03611261770129204,0.11620622128248215,False,0,0.0,False,False,True,False,Scene,,1.2712047435343265e-08,0.009769748896226607,0.6167470014784014,0.03611261770129204
27,4249,558788,train2017,0.0,0.0,0,0.0,0,0.0058987196534872055,0.2107025682926178,0.5786526203155518,0.13952872157096863,0.06521735340356827,False,0,0.0,False,False,True,False,Scene,,5.898719653487205e-09,2.107025682926178e-07,0.5786526203155518,0.13952872157096863
28,4325,393907,train2017,0.0,0.0,0,0.0,0,0.006299080792814493,0.10553226619958878,0.606414258480072,0.16438451409339905,0.11736989766359329,False,0,0.0,False,False,True,False,Scene,,6.299080792814493e-09,1.0553226619958878e-07,0.606414258480072,0.16438451409339905
33,4690,5277,train2017,0.0,0.0,0,0.0,0,0.012490885332226753,0.37119928002357483,0.42453861236572266,0.0584726557135582,0.13329850137233734,False,0,0.0,False,False,True,False,Scene,,1.2490885332226752e-08,3.711992800235748e-07,0.42453861236572266,0.0584726557135582
35,4786,267699,train2017,0.0,0.0,0,0.004092201955561331,3,0.01177060417830944,0.07876568287611008,0.6901872158050537,0.01744508184492588,0.2018313705921173,False,0,0.0,False,False,True,False,Scene,,1.177060417830944e-08,0.00032232508149674126,0.6873628303308328,0.01744508184492588
36,4835,5684,train2017,0.0,0.0,0,0.0020641914885831357,7,0.007500189356505871,0.05387502908706665,0.9037349820137024,0.019744524732232094,0.015145265497267246,False,0,0.0,False,False,True,False,Scene,,7.50018935650587e-09,0.00011120837648869185,0.9018694999558948,0.019744524732232094
39,4930,268114,train2017,0.0,0.0,0,0.0,0,0.004595515783876181,0.052325539290905,0.8963573575019836,0.01535686943680048,0.03136472404003143,False,0,0.0,False,False,True,False,Scene,,4.595515783876181e-09,5.2325539290905e-08,0.8963573575019836,0.01535686943680048
42,5204,6765,train2017,0.0,0.0,0,0.0,0,0.020304102450609207,0.028810514137148857,0.811710774898529,0.1039532944560051,0.03522126376628876,False,0,0.0,False,False,True,False,Scene,,2.0304102450609207e-08,2.8810514137148855e-08,0.811710774898529,0.1039532944560051
43,5285,7048,train2017,0.0,0.0,0,0.0,0,0.0020514626521617174,0.05327768623828888,0.778208315372467,0.045568909496068954,0.12089361250400543,False,0,0.0,False,False,True,False,Scene,,2.0514626521617173e-09,5.327768623828888e-08,0.778208315372467,0.045568909496068954
47,5459,11299,train2017,0.0,0.0,0,0.0,0,0.039521120488643646,0.31827956438064575,0.368556410074234,0.13232851028442383,0.14131438732147217,False,0,0.0,False,False,True,False,Scene,,3.9521120488643645e-08,3.182795643806457e-07,0.368556410074234,0.13232851028442383
48,5502,219750,train2017,0.0,0.0,0,0.024035398437499994,3,0.012292496860027313,0.18201321363449097,0.7377225160598755,0.016416221857070923,0.05155555531382561,False,0,0.0,False,False,True,False,Scene,,1.2292496860027312e-08,0.0043747601105947964,0.7199910614500614,0.016416221857070923
52,5602,270278,train2017,0.0,0.0,0,0.0,0,0.006821231916546822,0.06206826493144035,0.4627062976360321,0.42641058564186096,0.0419936403632164,False,0,0.0,False,False,True,False,Scene,,6.8212319165468215e-09,6.206826493144035e-08,0.4627062976360321,0.42641058564186096
55,5890,8998,train2017,0.0,0.0,0,0.0,0,0.01651192270219326,0.06643836200237274,0.3644730746746063,0.06544814258813858,0.48712849617004395,False,0,0.0,False,False,True,False,Scene,,1.651192270219326e-08,6.643836200237274e-08,0.3644730746746063,0.06544814258813858
56,6132,1625,train2017,0.0,0.0,0,0.0,0,0.013402629643678665,0.3008323013782501,0.49372005462646484,0.03243336081504822,0.15961168706417084,False,0,0.0,False,False,True,False,Scene,,1.3402629643678664e-08,3.008323013782501e-07,0.49372005462646484,0.03243336081504822
60,6444,272901,train2017,0.0,0.0,0,0.02402674820696721,2,0.007218716200441122,0.12489314377307892,0.7780367136001587,0.026992935687303543,0.0628584548830986,False,0,0.0,False,False,True,False,Scene,,7.218716200441122e-09,0.003000776118212322,0.7593430213867114,0.026992935687303543
67,6713,535871,train2017,0.0,0.0,0,0.011175517418032787,2,0.007473775651305914,0.16670873761177063,0.5926672220230103,0.025050073862075806,0.20810014009475708,False,0,0.0,False,False,True,False,Scene,,7.473775651305913e-09,0.0018630564009186003,0.586043859160195,0.025050073862075806
71,7120,274978,train2017,0.0,0.0,0,0.004698959493318488,2,0.00224892096593976,0.12061061710119247,0.5616796612739563,0.02170470356941223,0.29375606775283813,False,0,0.0,False,False,True,False,Scene,,2.24892096593976e-09,0.0005667444042226495,0.5590403512974091,0.02170470356941223
74,7366,399878,train2017,0.0,0.0,0,0.021049691718016433,14,0.0047249943017959595,0.04406971111893654,0.8158618211746216,0.050428736954927444,0.08491475880146027,False,0,0.0,False,False,True,False,Scene,,4.72499430179596e-09,0.0009276538331556552,0.7986881813543963,0.050428736954927444
75,7409,275902,train2017,0.0,0.0,0,0.0,0,0.01437918096780777,0.06032790616154671,0.8225539922714233,0.05128680542111397,0.0514521487057209,False,0,0.0,False,False,True,False,Scene,,1.4379180967807769e-08,6.03279061615467e-08,0.8225539922714233,0.05128680542111397
78,7654,276664,train2017,0.0,0.0,0,0.0,0,0.0009004087769426405,0.0379144623875618,0.6689525246620178,0.017032328993082047,0.2752002477645874,False,0,0.0,False,False,True,False,Scene,,9.004087769426405e-10,3.79144623875618e-08,0.6689525246620178,0.017032328993082047
81,7859,539395,train2017,0.0,0.0,0,0.0,0,0.12633152306079865,0.1710233837366104,0.4938768446445465,0.11444251984357834,0.09432567656040192,False,0,0.0,False,False,True,False,Scene,,1.2633152306079863e-07,1.710233837366104e-07,0.4938768446445465,0.11444251984357834
83,7948,570543,train2017,0.0,0.0,0,0.0008824733072916669,3,0.03247597813606262,0.1750699281692505,0.5775983333587646,0.02364948019385338,0.19120626151561737,False,0,0.0,False,False,True,False,Scene,,3.247597813606262e-08,0.00015449453851883304,0.5770886182472394,0.02364948019385338
84,7954,539705,train2017,0.0,0.0,0,0.0,0,0.006124536041170359,0.056610215455293655,0.7488290071487427,0.03593607619404793,0.152500182390213,False,0,0.0,False,False,True,False,Scene,,6.1245360411703586e-09,5.661021545529365e-08,0.7488290071487427,0.03593607619404793
90,8274,540735,train2017,0.0,0.0,0,0.0,0,0.05156021565198898,0.21062171459197998,0.5146626234054565,0.11084217578172684,0.11231326311826706,False,0,0.0,False,False,True,False,Scene,,5.156021565198898e-08,2.1062171459197996e-07,0.5146626234054565,0.11084217578172684
91,8318,278714,train2017,0.0,0.0,0,0.0,0,0.016938088461756706,0.20469273626804352,0.491830050945282,0.02386385388672352,0.26267531514167786,False,0,0.0,False,False,True,False,Scene,,1.6938088461756707e-08,2.046927362680435e-07,0.491830050945282,0.02386385388672352
92,8387,541077,train2017,0.0,0.0,0,0.006939063151041666,6,0.014654356054961681,0.2903814911842346,0.5474027395248413,0.025629311800003052,0.12193210422992706,False,0,0.0,False,False,True,False,Scene,,1.4654356054961681e-08,0.002014975505221053,0.5436042773462252,0.025629311800003052
101,8843,18078,train2017,0.0,0.0,0,0.0,0,0.05606550723314285,0.061299070715904236,0.4707339406013489,0.17819738388061523,0.2337041050195694,False,0,0.0,False,False,True,False,Scene,,5.606550723314285e-08,6.129907071590423e-08,0.4707339406013489,0.17819738388061523
104,9027,280764,train2017,0.0,0.0,0,0.06565493614607724,1,0.027865422889590263,0.2449362874031067,0.36702868342399597,0.07977104932069778,0.28039854764938354,False,0,0.0,False,False,True,False,Scene,,2.7865422889590262e-08,0.016081276309308192,0.34293143865001474,0.07977104932069778
105,9048,280808,train2017,0.0,0.0,0,0.0,0,0.007395113352686167,0.3237032890319824,0.41433408856391907,0.05485991761088371,0.19970761239528656,False,0,0.0,False,False,True,False,Scene,,7.3951133526861664e-09,3.237032890319824e-07,0.41433408856391907,0.05485991761088371
107,9230,281330,train2017,0.0,0.0,0,0.0,0,0.012751144357025623,0.14192402362823486,0.4333255887031555,0.08900099992752075,0.3229982852935791,False,0,0.0,False,False,True,False,Scene,,1.2751144357025622e-08,1.4192402362823486e-07,0.4333255887031555,0.08900099992752075
110,9680,20517,train2017,0.0,0.0,0,0.0,0,0.06927062571048737,0.13037636876106262,0.40414008498191833,0.06451168656349182,0.33170121908187866,False,0,0.0,False,False,True,False,Scene,,6.927062571048736e-08,1.303763687610626e-07,0.40414008498191833,0.06451168656349182
112,9804,545160,train2017,0.0,0.0,0,0.0,0,0.0058020311407744884,0.07384070754051208,0.7581983804702759,0.020696237683296204,0.14146265387535095,False,0,0.0,False,False,True,False,Scene,,5.802031140774488e-09,7.384070754051208e-08,0.7581983804702759,0.020696237683296204
121,10107,546147,train2017,0.0,0.0,0,0.054325579625292754,4,0.0016167317517101765,0.04434371739625931,0.8592463135719299,0.056348249316215515,0.03844489902257919,False,0,0.0,False,False,True,False,Scene,,1.6167317517101765e-09,0.0024089981502919645,0.8125672595462388,0.056348249316215515
122,10244,22256,train2017,0.0,0.0,0,0.0,0,0.006288302596658468,0.06562480330467224,0.7383875250816345,0.026098091155290604,0.1636013388633728,False,0,0.0,False,False,True,False,Scene,,6.288302596658468e-09,6.562480330467224e-08,0.7383875250816345,0.026098091155290604
123,10393,122964,train2017,0.0,0.0,0,0.0,0,0.002843995112925768,0.17891088128089905,0.6793278455734253,0.051978565752506256,0.08693870157003403,False,0,0.0,False,False,True,False,Scene,,2.8439951129257676e-09,1.7891088128089905e-07,0.6793278455734253,0.051978565752506256
126,10586,285450,train2017,0.0,0.0,0,0.0,0,0.00128363783005625,0.06270257383584976,0.8896992802619934,0.010914366692304611,0.035400137305259705,False,0,0.0,False,False,True,False,Scene,,1.2836378300562501e-09,6.270257383584976e-08,0.8896992802619934,0.010914366692304611
127,10600,547644,train2017,0.0,0.0,0,0.0,0,0.005967221688479185,0.19676721096038818,0.6456549763679504,0.02816433273255825,0.12344630062580109,False,0,0.0,False,False,True,False,Scene,,5.967221688479185e-09,1.9676721096038816e-07,0.6456549763679504,0.02816433273255825
131,11333,549830,train2017,0.0,0.0,0,0.008903484049479158,1,0.002835672814399004,0.37041717767715454,0.5059083700180054,0.020757833495736122,0.10008091479539871,False,0,0.0,False,False,True,False,Scene,,2.835672814399004e-09,0.003298003433101633,0.501404022915052,0.020757833495736122
132,11487,26029,train2017,0.0,0.0,0,0.03648691378933566,3,0.0001545849663671106,0.0036322588566690683,0.9802808165550232,0.005409820470958948,0.01052254531532526,False,0,0.0,False,False,True,False,Scene,,1.545849663671106e-10,0.00013252991576383522,0.9445133949120404,0.005409820470958948
134,11566,288372,train2017,0.0,0.0,0,0.0,0,0.003127957694232464,0.3277909457683563,0.5772937536239624,0.040263812988996506,0.0515236034989357,False,0,0.0,False,False,True,False,Scene,,3.127957694232464e-09,3.2779094576835633e-07,0.5772937536239624,0.040263812988996506
136,11635,26443,train2017,0.9596128415415934,0.0034602076124567475,1,0.040194366902591185,3,0.013177200220525265,0.1416625827550888,0.6150245070457458,0.11766596138477325,0.11246968060731888,False,0,0.0,False,False,True,False,Scene,,0.0033204596593134723,0.005694037827626727,0.5903039863554639,0.11766596138477325
137,11689,288751,train2017,0.0,0.0,0,0.0,0,0.002546388655900955,0.04011924937367439,0.7867041826248169,0.02062813751399517,0.15000200271606445,False,0,0.0,False,False,True,False,Scene,,2.546388655900955e-09,4.011924937367439e-08,0.7867041826248169,0.02062813751399517
141,11837,27002,train2017,0.0,0.0,0,0.0,0,0.00638159504160285,0.10522832721471786,0.6658015251159668,0.061723411083221436,0.16086511313915253,False,0,0.0,False,False,True,False,Scene,,6.38159504160285e-09,1.0522832721471787e-07,0.6658015251159668,0.061723411083221436
147,12075,27665,train2017,0.0,0.0,0,0.000599554687499999,4,0.005235644523054361,0.35352063179016113,0.5837526321411133,0.023653773590922356,0.03383735567331314,False,0,0.0,False,False,True,False,Scene,,5.235644523054361e-09,0.00021195495191775226,0.5834026405141727,0.023653773590922356
156,12922,30109,train2017,0.0,0.0,0,0.08221671956720712,14,0.003895288333296776,0.22240006923675537,0.6953406929969788,0.005642301868647337,0.07272163778543472,False,0,0.0,False,False,True,False,Scene,,3.895288333296775e-09,0.018285004124165765,0.6381720622371787,0.005642301868647337
157,12937,30148,train2017,0.0,0.0,0,0.0,0,0.012941021472215652,0.10971057415008545,0.4805993139743805,0.05401315540075302,0.3427359163761139,False,0,0.0,False,False,True,False,Scene,,1.2941021472215652e-08,1.0971057415008545e-07,0.4805993139743805,0.05401315540075302
159,13230,293130,train2017,0.0,0.0,0,0.0,0,0.04473808407783508,0.2888195216655731,0.4290236234664917,0.020129987969994545,0.2172888070344925,False,0,0.0,False,False,True,False,Scene,,4.473808407783508e-08,2.888195216655731e-07,0.4290236234664917,0.020129987969994545
